,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,label1,label2,tweet_counts,user_counts,gpt_label,manual_label,is_gt
0,3954961,33068,retweet,2c99c8566e2375fb4667aae290f2e588300ac9668e760d56b7e45f3ede0f419f,"RT @ricwe123 So this bullshit CNN reporter is on a US navy plane. Flying all the way to the South China Sea and starts complaining. ""Why is this Chinese jet in such a close proximity"" 😂😂😂😂 https://t.co/wSMpdXvWvQ",,1677495354,Twitter,,bullshit china chinese close cnn complaining flying jet navy plane proximity reporter rt sea south starts,16,us_military,,1380,47,neutral,,0
1,562961,33068,retweet,5194fa0e764a51d2e7c94db362d77d4caa86544503e7b4e679c4d54de9602ab9,RT @AJEnglish China’s military says it tracked and warned away a US warship that had illegally entered waters it claims in the South China Sea https://t.co/EYJ7p7l0hU https://t.co/mymz1BHcPU,,1679622132,Twitter,,china china claims entered illegally military rt sea south tracked warned warship waters,13,us_military,,60,47,opposing,,0
2,6794414,33068,retweet,a410c87f83d8d21eb0d5fe1f54443d2ac519b71476439acade0d17ed41ed8909,"RT @Spriter99880 Large-scale naval exercises by the US, Taiwan, France and Australia, South Korea, Japan and the Philippines are taking place in the Pacific Ocean.They are closely followed by the Chinese and Russian navies. https://t.co/hzpA6bXz9O",,1682674453,Twitter,,australia chinese closely exercises france japan korea large naval navies ocean pacific philippines place rt russian scale south taiwan taking,20,us_military,,430,47,neutral,,0
3,3050198,33068,retweet,96b9cfb07c33690a0f5f1af5d13f4eaa819d54e4535c227626c0a7722d37bdea,RT @medeabenjamin Unbelievable arrogance of US Navy challenging China’s “unlawful and sweeping maritime claims in the South China Sea.” Hello?!? It’s the South CHINA Sea!!! #ChinaIsNotOurEnemy https://t.co/BGvhGeLUJj via @asiatimesonline,,1681119382,Twitter,,arrogance challenging china china china claims maritime navy rt sea sea south south sweeping unbelievable unlawful,16,us_military,,328,47,opposing,,0
4,5408975,33068,retweet,8742f0c0838f78ef03efd457cbe219fefb7e0b483055122af7c279084c5215fe,RT @sentdefender The Republic of Korea Air Force (South Korea) has announced that earlier this morning it had Detected and Tracked at least 4 Chinese and 4 Russian Military Aircraft that had entered the Korean Air-Defense Identification Zone (KADIZ) over the Sea of Japan and the South China Sea… https://t.co/4GqKT6TCfM,,1686084154,Twitter,,air air aircraft announced china chinese defense detected earlier entered force identification japan kadiz korea korea korean military morning republic rt russian sea sea south south tracked zone,28,us_military,,334,47,neutral,,0
5,6272870,18832,retweet,96b9cfb07c33690a0f5f1af5d13f4eaa819d54e4535c227626c0a7722d37bdea,RT @medeabenjamin Unbelievable arrogance of US Navy challenging China’s “unlawful and sweeping maritime claims in the South China Sea.” Hello?!? It’s the South CHINA Sea!!! #ChinaIsNotOurEnemy https://t.co/BGvhGeLUJj via @asiatimesonline,,1681113377,Twitter,,arrogance challenging china china china claims maritime navy rt sea sea south south sweeping unbelievable unlawful,16,us_military,,328,36,opposing,,0
6,5843971,18832,retweet,0ba4fadf64698f9afcf6ae38e92c77cf09c9c8dab25ce1ad823091eaa674b2fc,"RT @vicktop55 The location of 4 new US military bases in the Philippines has become known. With red dots, I marked 5 already operating American military facilities. 🇺🇸🇦🇺 Australia, by the number of bases on its territory, has long been a key ally of the United States in the Pacific.… https://t.co/qx9k630rly",,1680598204,Twitter,,ally american australia bases bases dots facilities key location long marked military military number operating pacific philippines red rt states territory united,22,us_military,,33,36,neutral,,0
7,2960774,18832,retweet,8d8605130df27a38951ac362cbe07fabe2e0f98df9ba8e4513ef60df93f6c5d9,"RT @vicktop55 The US has a great interest in the region from the Pacific Ocean to the South China Sea - SkyNews. They won't be able to stop China if it wants to take Taiwan back, but they will try to wreak havoc in the region. Okinawa is not too far from Taiwan, there are 32 US military… https://t.co/SMMkkx7MXg",,1680969354,Twitter,,back china china great havoc interest military ocean okinawa pacific region region rt sea skynews south stop taiwan taiwan wreak,20,us_military,,76,36,neutral,neutral,1
8,6061837,169819,retweet,2c99c8566e2375fb4667aae290f2e588300ac9668e760d56b7e45f3ede0f419f,"RT @ricwe123 So this bullshit CNN reporter is on a US navy plane. Flying all the way to the South China Sea and starts complaining. ""Why is this Chinese jet in such a close proximity"" 😂😂😂😂 https://t.co/wSMpdXvWvQ",,1677421818,Twitter,,bullshit china chinese close cnn complaining flying jet navy plane proximity reporter rt sea south starts,16,us_military,,1380,35,neutral,,0
9,1504580,169819,retweet,96b9cfb07c33690a0f5f1af5d13f4eaa819d54e4535c227626c0a7722d37bdea,RT @medeabenjamin Unbelievable arrogance of US Navy challenging China’s “unlawful and sweeping maritime claims in the South China Sea.” Hello?!? It’s the South CHINA Sea!!! #ChinaIsNotOurEnemy https://t.co/BGvhGeLUJj via @asiatimesonline,,1681097778,Twitter,,arrogance challenging china china china claims maritime navy rt sea sea south south sweeping unbelievable unlawful,16,us_military,,328,35,opposing,,0
